version,waypoint,calls
1.6.15,plain,10
1.6.15,plain,26
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,26
1.6.15,plain,8
1.6.15,plain,26
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,32
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,10
1.6.15,plain,26
1.6.15,plain,26
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,26
1.6.15,plain,30
1.6.15,plain,32
1.6.15,plain,32
1.6.15,plain,18
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,30
1.6.15,plain,28
1.6.15,plain,4
1.6.15,plain,10
1.6.15,plain,4
1.6.15,plain,30
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,6
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,4
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,12
1.6.15,plain,22
1.6.15,plain,26
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,18
1.6.15,plain,18
1.6.15,plain,18
1.6.15,plain,24
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,26
1.6.15,plain,22
1.6.15,plain,26
1.6.15,plain,26
1.6.15,plain,26
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,26
1.6.15,plain,14
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,10
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,12
1.6.15,plain,8
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,22
1.6.15,plain,12
1.6.15,plain,22
1.6.15,plain,10
1.6.15,plain,22
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,10
1.6.15,plain,14
1.6.15,plain,12
1.6.15,plain,22
1.6.15,plain,14
1.6.15,plain,6
1.6.15,plain,24
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,12
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,16
1.6.15,plain,24
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,10
1.6.15,plain,18
1.6.15,plain,40
1.6.15,plain,6
1.6.15,plain,28
1.6.15,plain,38
1.6.15,plain,28
1.6.15,plain,6
1.6.15,plain,26
1.6.15,plain,28
1.6.15,plain,4
1.6.15,plain,30
1.6.15,plain,4
1.6.15,plain,28
1.6.15,plain,18
1.6.15,plain,30
1.6.15,plain,30
1.6.15,plain,18
1.6.15,plain,20
1.6.15,plain,14
1.6.15,plain,18
1.6.15,plain,16
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,26
1.6.15,plain,10
1.6.15,plain,28
1.6.15,plain,8
1.6.15,plain,16
1.6.15,plain,14
1.6.15,plain,26
1.6.15,plain,16
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,26
1.6.15,plain,28
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,14
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,13
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,13
1.6.15,plain,10
1.6.15,plain,14
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,4
1.6.15,plain,16
1.6.15,plain,16
1.6.15,plain,16
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,12
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,26
1.6.15,plain,14
1.6.15,plain,8
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,14
1.6.15,plain,8
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,16
1.6.15,plain,10
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,38
1.6.15,plain,38
1.6.15,plain,38
1.6.15,plain,36
1.6.15,plain,18
1.6.15,plain,16
1.6.15,plain,14
1.6.15,plain,16
1.6.15,plain,16
1.6.15,plain,14
1.6.15,plain,16
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,26
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,13
1.6.15,plain,13
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,34
1.6.15,plain,8
1.6.15,plain,8
1.6.15,plain,16
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,20
1.6.15,plain,10
1.6.15,plain,24
1.6.15,plain,8
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,13
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,12
1.6.15,plain,8
1.6.15,plain,12
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,13
1.6.15,plain,13
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,26
1.6.15,plain,32
1.6.15,plain,22
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,28
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,4
1.6.15,plain,12
1.6.15,plain,6
1.6.15,plain,22
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,20
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,20
1.6.15,plain,12
1.6.15,plain,38
1.6.15,plain,30
1.6.15,plain,30
1.6.15,plain,16
1.6.15,plain,8
1.6.15,plain,6
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,28
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,18
1.6.15,plain,16
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,10
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,22
1.6.15,plain,4
1.6.15,plain,18
1.6.15,plain,26
1.6.15,plain,32
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,20
1.6.15,plain,4
1.6.15,plain,28
1.6.15,plain,24
1.6.15,plain,14
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,26
1.6.15,plain,6
1.6.15,plain,8
1.6.15,plain,6
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,8
1.6.15,plain,10
1.6.15,plain,4
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,20
1.6.15,plain,14
1.6.15,plain,16
1.6.15,plain,8
1.6.15,plain,4
1.6.15,plain,8
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,12
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,8
1.6.15,plain,8
1.6.15,plain,10
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,22
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,8
1.6.15,plain,10
1.6.15,plain,30
1.6.15,plain,10
1.6.15,plain,24
1.6.15,plain,8
1.6.15,plain,4
1.6.15,plain,14
1.6.15,plain,20
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,14
1.6.15,plain,24
1.6.15,plain,12
1.6.15,plain,12
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,24
1.6.15,plain,8
1.6.15,plain,8
1.6.15,plain,20
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,34
1.6.15,plain,28
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,30
1.6.15,plain,18
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,34
1.6.15,plain,36
1.6.15,plain,34
1.6.15,plain,34
1.6.15,plain,28
1.6.15,plain,36
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,28
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,24
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,16
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,10
1.6.15,plain,26
1.6.15,plain,20
1.6.15,plain,10
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,12
1.6.15,plain,8
1.6.15,plain,20
1.6.15,plain,16
1.6.15,plain,18
1.6.15,plain,12
1.6.15,plain,14
1.6.15,plain,28
1.6.15,plain,28
1.6.15,plain,4
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,6
1.6.15,plain,6
1.6.15,plain,10
1.6.15,plain,16
1.6.15,plain,4
1.6.15,plain,4
1.6.15,plain,22
1.6.15,plain,16
1.6.15,plain,16
1.6.15,plain,22
1.6.15,plain,14
1.6.15,plain,14
1.6.15,plain,10
1.6.15,plain,10
